"Рег. 
№
марш-рута (далее-м-та) п/п","Порядковый
№
Маршрута","Наименование
Маршрута","Наименование остановочных пунктов маршрута. Направление движения","Наименование улиц и дорог, по которым проходит маршрут","Протяженность
Маршрута","Порядок посадки и высадки пассажиров","Вид регулярных перевозок","Вид","Класс","Макс. кол-во тр. ср-в (основное+резерв)","Экологические характеристики тр.  ср-в","Дата начала          осуществления рег. перевозок","Наименование
Перевозчика","Юридический
адрес
Перевозчика","Вид сообщения (городское, пригородное)","Тариф день (стоимость проезда,руб.)","Время первого выхода на маршрут (утро)","Время последнего выхода на маршрут (вечер)","Расписание/интервальный режим (мин)","Категория лиц со льготным проездом","Телефоны перевозчика","Ответственный орган Городской Управы города Калуги","Телефон ответственного органа Городской Управы города Калуги","Координаты движения маршрута"
66,"75","ул. Космонавта Комарова -  Бушмановка","КФ МГТУ им.Баумана - ТРК «XXIвек» -
ТРЦ «РИО»  - ул.Кирова- Драмтеатр-
К-тр «Централь - ный» - пл.Победы -
Торговая база -
Железнодорожная больница -
Строительный техникум - 
пл. Маяковского -
ул. Чапаева -
ул.Маяковского
(Школа № 6; парк им.К.Э.Циолков-ского - в сторону ул.Космонавта Комарова)","ул.Космонавта Комарова; ул.Баумана;  ул.Академика Королева;
ул.Гагарина;
ул.Кирова;
ул.Маршала Жукова;
ул.Чапаева;
ул.Заводская;
ул.Маяковского","6.8","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по нерегули-руемым 
тарифам","Авто-бус","Ма-лый","14
(12+2)","любой","41507","ООО «Гефест»","г.Калуга,
ул.Зерновая, д.22а","городское",22,6.00,22.55,"8-30",,"51-57-61","Управление городского хозяйства города Калуги","70-11-34","[[54.527958, 36.313300], [54.526224, 36.299080], [54.523909, 36.299979], [54.523011, 36.292415], [54.518794, 36.291664], [54.514916, 36.284814], [54.512926, 36.274709], [54.512864, 36.271576], [54.515854, 36.245948], [54.515730, 36.242622], [54.513630, 36.238967], [54.515440, 36.234204], [54.515203, 36.234037], [54.515213, 36.234434], [54.512264, 36.242602], [54.510169, 36.239859], [54.511349, 36.237261], [54.511907, 36.236137], [54.515481, 36.243090], [54.515594, 36.245923], [54.512552, 36.271754], [54.512671, 36.274576], [54.514856, 36.284674], [54.519033, 36.292099], [54.522980, 36.292474], [54.523889, 36.299985], [54.526213, 36.299147], [54.527978, 36.313102], [54.527913, 36.313296]]"
67,"76","мкр. «Кошелев» - Гипермаркет  
«К-Раута»","Детский сад - ул.Петра Тарасова - ул.Братьев Луканиных - д.Верховая - пов.мкр. «Кошелев» (из города) - ул.Серафима Туликова 
(в город) - ул.Серафина Туликова (на ул.Фомушина) - д/с Мозаика -
 парк Губернский (в города) 
 ул.Воротынская (из города) - ул.65 лет Победы (из города) -д/с Мозаика (из города) - мкр «Хороший» (из города) -  Правобережье - Библиотека - Школа искусств -  поворот ул.Генерала Попова-  Шопинский поворот- Ромоданово -       КФ МГТУ им.Баумана -      ТРК «XXIвек»  - ул.Кирова - ТРЦ «РИО»  -  Драмтеатр - К-тр «Центральный»- Концертный зал - сквер Комсомола - 
Городской рынок - 
сквер Комсомола (ул.Ленина) - Машзавод - ст.Калуга-1 -  пл.Маяковского - ул.Чапаева - Почта- ул.Моторная - 
Тайфун - 
Нефтебаза -
п.Дубрава -","ул.Георгия Амелина, ул.Верховая, ул.Серафима Туликова;  ул.65 лет Победы; 
ул.Фомушина; ул.Воротынская;
ул.Генерала Попова;
Тульское шоссе;
ул.Гагарина;
ул.Кирова;
ул.Ленина;
ул.Карла Либкнехта,
Грабцевское шоссе","16.8","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по нерегули-руемым 
тарифам","Авто-бус","Ма-лый","9
(8+1)","любой","41995","ООО «Гефест»","г.Калуга,
ул.Зерновая, д.22а","городское",22,6.00,20.40,"20-40",,"51-57-61","Управление городского хозяйства города Калуги","70-11-34","[[54.501448, 36.176715], [54.495594, 36.184533], [54.491372, 36.182645], [54.492306, 36.177678], [54.493155, 36.176133], [54.492156, 36.175940], [54.492069, 36.177507], [54.489043, 36.193224], [54.488755, 36.193352], [54.487381, 36.191035], [54.485270, 36.194854], [54.485587, 36.199871], [54.490122, 36.205514], [54.493164, 36.228370], [54.510836, 36.234050], [54.515539, 36.243238], [54.515577, 36.245834], [54.513519, 36.263724], [54.524449, 36.270982], [54.532998, 36.277727], [54.534296, 36.277942], [54.524418, 36.271070], [54.521641, 36.284051], [54.523898, 36.300010], [54.528422, 36.298293], [54.528603, 36.299543], [54.534469, 36.298763], [54.547632, 36.334125], [54.547769, 36.334184], [54.534485, 36.298732], [54.528537, 36.299514], [54.528409, 36.298307], [54.523898, 36.300008], [54.521608, 36.284162], [54.524354, 36.271158], [54.533110, 36.277611], [54.533884, 36.278362], [54.534196, 36.277611], [54.513606, 36.263718], [54.515928, 36.245878], [54.516777, 36.243646], [54.515591, 36.242681], [54.510602, 36.233328], [54.493449, 36.228086], [54.490251, 36.205642], [54.484955, 36.197574], [54.487403, 36.191265], [54.488727, 36.193368], [54.488702, 36.195020], [54.489439, 36.193218], [54.491335, 36.182767], [54.495507, 36.184377], [54.501728, 36.176578]]"
68,"77
(м)","Парк им.К.Э. Циолков-
ского -  Грабцевское шоссе 
(ПЛ № 22)","Школа № 6 - КФ МГТУ им.Баумана-
ТРК «XXIвек» -
ТРЦ «РИО»  - ул.Кирова- Драмтеатр -
К-тр «Центральный» - пл.Победы -
Торговая база -
Железнодорожная больница -
Строительный техникум - пл.Маяковского - ул.Чапаева - 
Почта - Грабцевское шоссе, д.158","ул.Королева;
ул.Гагарина;
ул.Кирова;
ул.Маршала Жукова; ул.Чапаева; ул.Заводская;
ул.Новаторская;
ул.Моторная;
ул.Молодежная;
Грабцевское шоссе","7.7","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по нерегули-руемым 
тарифам","Авто-бус","Ма-лый","11
(8+3)","любой","41571","ООО «Авто-Шик","г.Калуга,
ул.Черны-
шевского,
д.14, оф.301","городское",22,6.00,23.30,"10-30",,"89208819655","Управление городского хозяйства города Калуги","70-11-34","[[54.515193, 36.233970], [54.515229, 36.234456], [54.513513, 36.239092], [54.515536, 36.243270], [54.515586, 36.245716], [54.512593, 36.271952], [54.512256, 36.274119], [54.514887, 36.284767], [54.522974, 36.292530], [54.523873, 36.299997], [54.528374, 36.298430], [54.528518, 36.299546], [54.530034, 36.299438], [54.532830, 36.313069], [54.533330, 36.312571], [54.532843, 36.313019], [54.530426, 36.306328], [54.530072, 36.299361], [54.528540, 36.299529], [54.528392, 36.298348], [54.523880, 36.299971], [54.523163, 36.292588], [54.522994, 36.292429], [54.519040, 36.291979], [54.515016, 36.284967], [54.512796, 36.274750], [54.513458, 36.273121], [54.512804, 36.271405], [54.515901, 36.245799], [54.516868, 36.244083], [54.515485, 36.242533], [54.513569, 36.238964], [54.515415, 36.234158], [54.515195, 36.233994]]"
69,"77
(с)","пл. Мира – 
Грабцевское шоссе 
(ПЛ № 22)","ТРК «XXIвек» -
ТРЦ «РИО»  - ул.Кирова- Драмтеатр-
К-тр «Централь - ный» - пл.Победы -
Торговая база -
Железнодорожная больница -
Строительный техникум - пл.Маяковского - ул.Чапаева - Почта-  Грабцевское шоссе, д.158","ул.Кирова;
ул.Маршала Жукова; ул.Чапаева; ул.Заводская;
ул.Новаторская;
ул.Моторная;
ул.Молодежная;
Грабцевское шоссе","6.9","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по нерегули-руемым 
тарифам","Авто-бус","Сред-ний","13
(10+3)","любой","41507","ООО «Эгоном-3»","г.Калуга,
ул.Кирова,
д.7/47","городское",22,6.20,22.30,"10-30",,"55-80-10","Управление городского хозяйства города Калуги","70-11-34","[[54.516318, 36.242918], [54.515536, 36.243270], [54.515586, 36.245716], [54.512593, 36.271952], [54.512256, 36.274119], [54.514887, 36.284767], [54.522974, 36.292530], [54.523873, 36.299997], [54.528374, 36.298430], [54.528518, 36.299546], [54.530034, 36.299438], [54.532830, 36.313069], [54.533330, 36.312571], [54.532843, 36.313019], [54.530426, 36.306328], [54.530072, 36.299361], [54.528540, 36.299529], [54.528392, 36.298348], [54.523880, 36.299971], [54.523163, 36.292588], [54.522994, 36.292429], [54.519040, 36.291979], [54.515016, 36.284967], [54.512796, 36.274750], [54.513458, 36.273121], [54.512804, 36.271405], [54.515901, 36.245799], [54.516868, 36.244083], [54.516374, 36.242944]]"
70,"80","КЗТА -
ул. Широкая","ГПТУ № 10 -
ул. Салтыкова-Щедрина - 
ул.Войкова -
Аптека № 3 (ост.по требованию) - ул.Мичурина -
пл.Победы -
к-тр 
«Центральный» -
Драмтеатр - 
ТРЦ «РИО»  - ул.Кирова- 
ТРК «XXIвек» - ул.Пролетарская - ул.Огарева  - ул.Труда (ост. по требованию) -         м-н «Магнит» (ост.по требованию)- ул.Пухова (ост. по требованию) - ул.Чичерина (ост. по требованию) - бол. Сосновая роща","ул.Ст. Разина;
ул.Кирова;
ул.Плеханова;
ул.Рылеева;
ул.Труда;
пер.Труда; ул.Пухова;
ул.Чичерина;
ул.Социалисти-ческая; ул.Широкая;
ул.Калинина;
пер.Чичерина","7.63","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по нерегули-руемым 
тарифам","Авто-бус","Ма-лый","30
(26+4)","любой","41507","ООО «Эгоном-1»","г.Калуга,
ул.Кирова,
д.7/47","городское",22,6.20,21.10,"4-40",,"55-80-10","Управление городского хозяйства города Калуги","70-11-34","[[54.536004, 36.246980], [54.534166, 36.254998], [54.531747, 36.255609], [54.531796, 36.258453], [54.527553, 36.258099], [54.527715, 36.254622], [54.521966, 36.252444], [54.521779, 36.254075], [54.515146, 36.250729], [54.515949, 36.245795], [54.516692, 36.243241], [54.515219, 36.243928], [54.512488, 36.271873], [54.511895, 36.273107], [54.499094, 36.280580], [54.499460, 36.295129], [54.501127, 36.301072], [54.499891, 36.303014], [54.500863, 36.308913], [54.501216, 36.308977], [54.501151, 36.308775], [54.501240, 36.308380], [54.500928, 36.308721], [54.499990, 36.302972], [54.501142, 36.301359], [54.501245, 36.301031], [54.499497, 36.295091], [54.499145, 36.280883], [54.512147, 36.273770], [54.513433, 36.273319], [54.512840, 36.271410], [54.515537, 36.247731], [54.522203, 36.250982], [54.521959, 36.252484], [54.527726, 36.254630], [54.527549, 36.258407], [54.534114, 36.258865], [54.534321, 36.253019], [54.536065, 36.246971]]"
71,"81","ул.Кирова - Железняки - Силикатный","ТРК «XXIвек» - ул.Пролетарская - ул.Огарева  - пл.Телевизионная - ул.Пухова - ул.Билибина -
Школа № 7 - Сосновая роща -
Галантус (ост. по требованию) - Железняки (ост. по требованию) -  АГЗС (ост.по требованию) - ст.Азарово -  Дом культуры","ул.Кирова;
ул.Плеханова; ул.Труда;
ул.Рылеева;
ул.Телевизион-ная;
ул.Железняки; ул.Гурьянова","8.5","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по нерегули-руемым 
тарифам","Авто-бус","Ма-лый","17
(16+1)","любой","41507","ООО «Эгоном-1»","г.Калуга,
ул.Кирова,
д.7/47","городское",22,6.15,19.00,"5-10",,"55-80-10","Управление городского хозяйства города Калуги","70-11-34","[[54.515333, 36.249669], [54.515539, 36.247770], [54.522196, 36.250956], [54.520961, 36.259784], [54.536338, 36.261327], [54.542254, 36.263659], [54.548500, 36.247805], [54.559853, 36.246745], [54.566776, 36.241807], [54.568583, 36.229861], [54.568443, 36.228857], [54.565748, 36.243231], [54.564981, 36.243403], [54.564754, 36.243839], [54.564754, 36.243839], [54.555908, 36.248731], [54.550094, 36.249874], [54.547969, 36.247665], [54.542430, 36.263587], [54.540662, 36.265083], [54.521020, 36.259737], [54.521741, 36.254072], [54.515179, 36.250643], [54.515273, 36.249892]]"
72,"82(л)","ул.Гурьянова -  ул.Кирова - 
д. Черносвитино","Дом культуры - ст.Азарово - АГЗС (ост.по требованию) - ул.Московская - ул.Поселковая - ГПТУ № 6 - Троллейбусное депо - пл.Московская (ул.Московская) - пл.Московская (ул.Билибина) - ул.Билибина - ул.Пухова - пл.Телевизионная- ул.Огарева (в ст.ул.Кирова) - ул.Кирова — ул.Пролетарская (в ст.ул.Гурьянова - ТРЦXXIвек - МГТУ 
им.Баумана - Бор - ДС «Лесная 
сказка» - 
ДС «Сокол» - 
с/х Выставка - ул.Вишневского - Анненки - с/х Академия - д.Белая","ул.Гурьянова; ул.Московская; ул.Билибина;ул.Телевизионная; ул.Труда; ул.Рылеева, ул.Плеханова - ул.Кирова; ул.Гагарина;   а/д «Подъезд к г.Калуге от М3 «Украина»,ул.Вишневского,
автодорога «Силикатный - Анненки»;
ул.Черносви-тинская","23","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по регули-руемым 
тарифам","Авто-бус","Сред-ний","1","любой","42309","МУП ГЭТ «УКТ» г.Калуги","г.Калуга,
ул.Московская, д.258","городское",22,6.10,22.00,"7.10, 8.50, 12.10, 15.0, 16.40, 19.30, 21.10","Льготный проезд предоставляется отдельным категориям граждан, меры социальной поддержки которым относятся к ведению Российской Федерации Калужской области города Калуги, согласно Постановлению Правительства Калужской области от 24.03.2005г. №75 и Постановления Городской Управы города Калуги от 31.12.2010 №389-п.","55-44-53","Управление городского хозяйства города Калуги","70-11-34","[[54.568389, 36.229637], [54.566768, 36.241697], [54.565683, 36.243370], [54.560209, 36.246138], [54.557441, 36.254507], [54.556480, 36.261609], [54.556405, 36.264291], [54.551429, 36.267746], [54.546502, 36.269570], [54.531168, 36.269806], [54.530419, 36.268733], [54.531742, 36.261899], [54.531748, 36.261287], [54.527293, 36.261384], [54.520990, 36.259796], [54.521763, 36.254045], [54.515107, 36.250675], [54.515731, 36.245804], [54.515632, 36.242929], [54.510585, 36.233401], [54.509624, 36.229067], [54.512913, 36.211773], [54.520981, 36.196064], [54.525337, 36.181043], [54.531964, 36.169154], [54.534023, 36.170828], [54.535495, 36.173510], [54.534023, 36.170828], [54.531964, 36.169154], [54.538714, 36.157288], [54.549156, 36.181685], [54.558428, 36.204549], [54.557748, 36.204914], [54.554562, 36.209882], [54.552866, 36.215042], [54.553421, 36.217521], [54.553115, 36.218518], [54.553421, 36.217521], [54.552866, 36.215042], [54.554562, 36.209882],  [54.557748, 36.204914], [54.558428, 36.204549], [54.549156, 36.181685], [54.538714, 36.157288], [54.531964, 36.169154], [54.534023, 36.170828], [54.535495, 36.173510], [54.534023, 36.170828], [54.531964, 36.169154], [54.525337, 36.181043], [54.520981, 36.196064], [54.512913, 36.211773], [54.508704, 36.233506], [54.509715, 36.234440], [54.510527, 36.233753], [54.515731, 36.245804], [54.515469, 36.247677], [54.522162, 36.250986], [54.520990, 36.259796], [54.527293, 36.261384], [54.531748, 36.261287], [54.531742, 36.261899], [54.530419, 36.268733], [54.531168, 36.269806], [54.546502, 36.269570], [54.551429, 36.267746], [54.556849, 36.264630], [54.556600, 36.262387], [54.557441, 36.254507], [54.560209, 36.246138], [54.565683, 36.243370], [54.566768, 36.241697], [54.568389, 36.229637]]"
73,"83","ст. Калуга-I – ул. Никитина","Машзавод - сквер Комсомола (ул.Ленина)- к-тр «Центральный» пл.Победы - 
Аптека № 3 - 
Больница № 4 - ул.Постовалова (ост. по требованию) - ул.Никитина, д.139","ул.Ленина;
ул.Баррикад;
ул.Московская;
ул.Кирова;
ул.Ст.Разина;
ул.Никитина;
ул.Постовалова","6.5","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по нерегули-руемым 
тарифам","Авто-бус","Ма-лый","11
(10+1)","любой","41507","ООО «Гефест»","г.Калуга,
ул.Зерновая, д.22а","городское",22,6.10,23.00,"8-30",,"51-57-61","Управление городского хозяйства города Калуги","70-11-34","[[54.534205, 36.277767], [54.513533, 36.263769], [54.512560, 36.271951], [54.506393, 36.276416], [54.509081, 36.289810], [54.512027, 36.304560], [54.511957, 36.304443], [54.510659, 36.297877], [54.509810, 36.298306], [54.508249, 36.290238], [54.509095, 36.289728], [54.506473, 36.276714], [54.511998, 36.273619], [54.513469, 36.273490], [54.512783, 36.271376], [54.513658, 36.263842], [54.532940, 36.276909], [54.533530, 36.278212]]"
74,"85","Швейная фабрика– Силикатный","Швейная фабрика - ул.Никитина - библиотека им.Белинского - 
к-тр 
«Центральный» - ул.Баррикад (в сторону Швейной фабрики) - 
Школа № 14 - ул.К.Либкнехта (ул.Московская) - пл.Московская - 
м-н «Спутник» - Трансмаш - Троллейбусное 
депо - ГПТУ № 6 - ул.Поселковая - ул.Московская - АГЗС - ст.Азарово - Дом культуры","ул.Луначар-
ского;
ул.Ленина;
ул.Баррикад;
ул.Московская;
ул.Гурьянова","9.300000000000001","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по нерегули-руемым 
тарифам","Авто-бус","Сред-ний","1","любой","41507","ООО «Авто-М»","г.Калуга,
ул.Кирова,
д.7/47","городское",22,6.50,18.00,"7.50, 16.00, 17.20",,"55-80-10","Управление городского хозяйства города Калуги","70-11-34","[[54.502522, 36.261955], [54.512247, 36.262952], [54.517669, 36.266528], [54.518071, 36.263100], [54.520024, 36.263299], [54.530959, 36.270399], [54.531629, 36.269814], [54.551397, 36.267748], [54.551708, 36.267802], [54.553302, 36.266595], [54.554887, 36.265977], [54.556813, 36.264992], [54.557461, 36.254469], [54.560485, 36.245904], [54.565785, 36.243267], [54.566741, 36.241808], [54.568229, 36.231152], [54.568588, 36.229885], [54.568429, 36.228898], [54.566507, 36.242282], [54.565197, 36.243344], [54.556362, 36.264153], [54.553280, 36.266573], [54.550487, 36.267698], [54.549624, 36.268430], [54.529971, 36.269696], [54.519990, 36.263272], [54.519463, 36.267831], [54.512147, 36.262724], [54.502252, 36.261756], [54.502483, 36.262049]]"
75,"86","пл. Победы – Силикатный","Торговая база -
Железнодорожная больница - Строительный техникум - пл.Маяковского - ул.Чапаева - 
Почта -  у
л.Моторная - 
СПМК  -
Поликлиника - проходная 
КАДВИ - ул.Московская - АГЗС - ст.Азарово - Дом Культуры","ул.Маршала Жукова;
ул.Чапаева; ул.Заводская; ул.Новаторская; ул.Моторная; Грабцевское шоссе;
ул.Зерновая;
ул.Тарутинская;
ул.Путейская;
ул.Гурьянова","10.8","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по нерегули-руемым 
тарифам","Авто-бус","Сред-ний","2
(1+1)","любой","41507","ООО «Авто-М»","г.Калуга,
ул.Кирова,
д.7/47","городское",22,6.35,17.50,"7.05, 7.40, 8.40, 16.00, 17.10",,"55-80-10","Управление городского хозяйства города Калуги","70-11-34","[[54.568616, 36.229663], [54.568453, 36.228851], [54.566742, 36.241594], [54.565738, 36.243214], [54.564990, 36.243415], [54.564756, 36.243880], [54.560022, 36.246277], [54.556454, 36.261236], [54.556454, 36.266435], [54.547683, 36.281718], [54.545543, 36.282619], [54.546470, 36.286170], [54.548010, 36.287219], [54.546520, 36.294375], [54.537293, 36.305891], [54.536401, 36.305237], [54.534466, 36.298756], [54.528536, 36.299519], [54.528401, 36.298290], [54.523910, 36.299958], [54.523141, 36.292577], [54.523005, 36.292408], [54.519670, 36.292398], [54.514961, 36.284713], [54.512761, 36.274700], [54.513148, 36.274206], [54.512497, 36.274235], [54.522990, 36.292471], [54.523917, 36.300021], [54.528417, 36.298297], [54.528526, 36.299541], [54.534448, 36.298787], [54.537017, 36.306735], [54.537293, 36.305878], [54.544617, 36.298102], [54.548042, 36.287185], [54.545552, 36.282664], [54.555426, 36.270223], [54.556773, 36.263110], [54.560253, 36.246224], [54.566627, 36.242253], [54.568232, 36.231107], [54.568472, 36.230689], [54.568569, 36.230050]]"
76,"90","пос. Северный – Гипермаркет     «К-Раута»","Универмаг - 
Дачная -
мкр «Байконур» - ТРЦ «Торговый квартал» -
30 микрорайон -
ул.Кибальчича -
(ул.Малоярославец- кая - заезд на обратном пути) -
Лицей № 13 -
 ул.Азаровская - Путепровод -  
ул.Поселковая -
ГПТУ № 6 - Троллейбусное 
депо - Трансмаш -
маг. «Спутник» - пл.Московская — ул.К.Либкнехта (ул.Московская) - 
сквер Комсомола - Городской рынок - пл.Маяковского -
ул.Чапаева - 
Почта - 
ул.Моторная - Тайфун - Дубрава - Нефтебаза - п.Дубрава","ул.Московская;
ул.К.Либкнехта;
ул.Чапаева;
ул.Заводская; ул.Новаторская; ул.Моторная; Грабцевское шоссе","14.5","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по нерегули-руемым 
тарифам","Авто-бус","Ма-лый","8
(6+2)","любой","42185","ООО «Эгоном-1»","г.Калуга,
ул.Кирова,
д.7/47","городское",22,5.45,20.00,"10-20",,"55-80-10","Управление городского хозяйства города Калуги","70-11-34","[[54.603357, 36.264461], [54.587318, 36.253791], [54.587554, 36.251710], [54.586277, 36.251635], [54.585754, 36.253126], [54.581716, 36.253641], [54.581422, 36.252758], [54.577258, 36.254289], [54.577258, 36.255726], [54.551375, 36.267619], [54.550417, 36.267801], [54.549897, 36.268406], [54.529981, 36.269675], [54.525394, 36.266657], [54.521691, 36.284086], [54.523900, 36.300036], [54.528443, 36.298319], [54.528518, 36.299563], [54.534446, 36.298823], [54.540858, 36.316660], [54.541030, 36.316077], [54.538590, 36.310745], [54.534494, 36.298822], [54.535530, 36.298189], [54.534357, 36.298629], [54.528562, 36.299471], [54.528412, 36.298259], [54.523873, 36.299941], [54.521628, 36.284121], [54.525371, 36.266747], [54.530960, 36.270410], [54.531659, 36.269841], [54.551402, 36.267753], [54.551704, 36.267825], [54.564927, 36.259510], [54.584466, 36.252686], [54.602855, 36.264452], [54.603129, 36.264913]]"
77,"91(л)","скв.Медицинских сестер - 
Дом быта - 
д. Жерело","пл.Мира - ул.Кирова - Драмтеатр - Дом быта - 
ул. Огарева - 
Школа № 14 - 
ул. К. Либкнехта - пл. Московская - 
м-н «Спутник» - Трансмаш - Троллейбусное депо  ГПТУ № 6 -
ул. Поселковая -
Путепровод -
ул. Азаровская - Лицей № 13 -
30 микрорайон - ул.Кибальчича -
ТРЦ «Торговый квартал»  - мкр. Байконур - Дачная - Универмаг - п. Северный - поворот д. Доможирово - дачи «Заря»  -
 д. Петрово (ост.по требованию) - дачи «Василек» (ост. по требованию) - 
д. Ильинка - ост. по требованию","ул. Кирова;
ул. Московская; Окружная а/д;
автодорога «Ильинка-Жерело»;
ул. Центральная","19.05","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по регули-руемым 
тарифам","Авто-бус","Боль-шой","1","любой","42309","МУП ГЭТ «УКТ» г.Калуги","г.Калуга,
ул.Московская, д.258","городское",22,6.15,21.00,"7.00, 9.20, 14.00, 16.00, 18.00, 20.00","Льготный проезд предоставляется отдельным категориям граждан, меры социальной поддержки которым относятся к ведению Российской Федерации Калужской области города Калуги, согласно Постановлению Правительства Калужской области от 24.03.2005г. №75 и Постановления Городской Управы города Калуги от 31.12.2010 №389-п.","55-44-53","Управление городского хозяйства города Калуги","70-11-34","[[54.514945, 36.252546], [54.515744, 36.245766], [54.516868, 36.243920], [54.515220, 36.244285], [54.515744, 36.245766], [54.518054, 36.263125], [54.520076, 36.263297], [54.530922, 36.270378], [54.531633, 36.269798], [54.546451, 36.269562], [54.551415, 36.267695], [54.569609, 36.256537], [54.574004, 36.255465], [54.577495, 36.255658], [54.584574, 36.252633], [54.593796, 36.257632], [54.604286, 36.265572], [54.613403, 36.276150], [54.616467, 36.282395], [54.617955, 36.283639], [54.621404, 36.285013]М, [54.626467, 36.290951], [54.628670, 36.290072], [54.629666, 36.290608], [54.636226, 36.298784], [54.638355, 36.301916], [54.640048, 36.302388], [54.642300, 36.303139], [54.645586, 36.307517], [54.648222, 36.312065], [54.656185, 36.315262], [54.659458, 36.313238], [54.663289, 36.308646], [54.667182, 36.305985], [54.669912, 36.305428], [54.672113, 36.303775], [54.672884, 36.302531], [54.674153, 36.301909], [54.672884, 36.302531], [54.672113, 36.303775], [54.669912, 36.305428], [54.667182, 36.305985], [54.663289, 36.308646], [54.659458, 36.313238], [54.656185, 36.315262], [54.648222, 36.312065], [54.645586, 36.307517], [54.642300, 36.303139], [54.640048, 36.302388], [54.638593, 36.298734], [54.636851, 36.299013], [54.633739, 36.295322], [54.628722, 36.289550], [54.625298, 36.287919], [54.622098, 36.285323], [54.621404, 36.285013], [54.617955, 36.283639], [54.616467, 36.282395], [54.613403, 36.276150], [54.604286, 36.265572], [54.593796, 36.257632], [54.584574, 36.252633], [54.577495, 36.255658], [54.574004, 36.255465], [54.569609, 36.256537], [54.551415, 36.267695], [54.546451, 36.269562], [54.531633, 36.269798], [54.530572, 36.269413], [54.530434, 36.268576], [54.531757, 36.261324], [54.527277, 36.261388], [54.520986, 36.259757], [54.521460, 36.256367], [54.515818, 36.253856], [54.515181, 36.252934]]"
78,"92","Городской рынок- пл.Победы - пл.Мира","ул.К.Либкнехна - ул.К.Либкнехта (ул.Московская) - Школа № 14 - К-тр «Центральный» - пл.Победы - ул.Мичурина - Аптека № 3 (ост.по требованию) - ул.Войкого (ост.по требованию) - ул.Николо-Козинская - ул.Беляева - Детская больница - пл.Старый торг - Каменный мост - ул.Баумана - КФ МГТУ им.Баумана- ул.Кирова - Драмтеатр - Дом быта - ул.Огарева - ул.К.Либкнехта (ул.Московская) -  сквер Комсомола","Грабцевское шоссе - ул.К.Либкнехта; ул.Московская; ул.Кирова; ул.Степана Разина; 
ул.Салыкова-Щедрина;
ул.Кутузова;
ул.Баженова;
ул.Пушкина;
ул.Академика Королева;
ул.Гагарина;
ул.Кирова;","12","Только в устано-вленных остановоч-ных пунктах","Регулярные 
перевозки 
по нерегули-руемым 
тарифам","Авто-
бус","Ма-лый","4
(3+1)","любой","43034","ООО «Эталон-Сервис»","г.Калуга,
ул.Ленина,
д.6а, оф.7","городское",22,6.45,18.30,"10",,"21-21-31","Управление городского хозяйства города Калуги","70-11-34","[[54.502471, 36.262030], [54.509228, 36.262563], [54.510533, 36.259902], [54.530973, 36.270331], [54.564910, 36.259527], [54.577114, 36.255693], [54.585015, 36.252712], [54.599777, 36.262042], [54.598917, 36.265797], [54.596924, 36.267535], [54.598880, 36.265969], [54.599926, 36.262257], [54.604248, 36.265559], [54.605868, 36.261750], [54.605793, 36.261653], [54.604243, 36.265344], [54.603434, 36.264529], [54.587290, 36.25374254.587545, 36.251650], [54.585741, 36.253066], [54.581711, 36.253543], [54.580129, 36.253232], [54.577087, 36.255640], [54.530125, 36.269793], [54.529327, 36.274385], [54.512013, 36.262875], [54.502242, 36.261818], [54.502413, 36.262107]]"
