"полное наименование","Сокращённое наименование","Почтовый адрес учреждения","Геокоординаты учреждения: широта","Геокоординаты учреждения:долгота","адрес сайта учреждения в сети Интернет","адрес электронной почты учреждения","номер телефона учреждения","номер факса учреждения","реквизиты устава учреждения","цель учреждения","возраст воспитанников","направленность групп учреждения","режим функционирования групп учреждений","Должность руководителя учреждения","Ф.И.О. руководителя учреждения","Курирующий орган Городской Управы города Калуги"
"муниципальное бюджетное дошкольное образовательное учреждение № 72 КАЛИНКА города Калуги","МБДОУ № 72 г.Калуги","248025, Калужская область, г.Калуга, ул.Радищева д.4","54.5474","36.294365","https://dso72.nubex.ru/","ds072@uo.kaluga.ru","+74842515826; +74842515848",,"Утвержден постановлением Городской Управы города Калуги от 21.01.2015 № 364-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая, компенсирующая","понедельник-пятница с 6.30 до 18.30","заведующий","Савкина Ольга Александровна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 74 РАДОСТЬ города Калуги","МБДОУ № 74 г. Калуги","248031,Калужская область, г.Калуга, д.Канищево, ул. Новая, д.3а","54.595596","36.282604","http://ds074.ucoz.net/","ds074@uo.kaluga.ru","+74842512486",,"Утвержден постановлением Городской Управы города Калуги от 02.04.2015 № 4019-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","заведующий","Савостина Ольга Валентиновна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 75 СИНЯЯ ПТИЦА города Калуги","МБДОУ № 75 СИНЯЯ ПТИЦА г. Калуги","248002 , Калужская область, г.Калуга, ул. Н.-Козинская,  д.71","54.3012","36.163","https://region67.region-systems.ru","ds075@uo.kaluga.ru","+74842533578",+74842533578,"Утвержден постановлением Городской Управы города Калуги от 13.02.2015 № 1769-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","заведующий","Змачинская Екатерина Валериевна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 77 РОДНИЧОК города Калуги","МБДОУ№77 РОДНИЧОК города Калуги","248030, Калужская область, г.Калуга, ул.Рылеева, д.5","54.519704","36.254478","http://rodnichok.kaluga.ru/","ds077@uo.kaluga.ru","+74842743402",+74842740056,"Утвержден постановлением Городской Управы города Калуги от 01.12.2015 №15539-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","компенсирующая","понедельник-пятница группы полного дня(12 часов) с 7.00 до 19.00, группы кратковременного пребывания (5 часов) с 8.00 до 13.00","заведующий","Матвеева Галина Николаевна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 77 РОДНИЧОК города Калуги структурное необособленное подразделение  КОЛОКОЛЬЧИК","МБДОУ РОДНИЧОК г. Калуги НСП КОЛОКОЛЬЧИК","248000, Калужская область, г.Калуга, ул. Чебышева, д.6а","54.510709","36.253346","http://rodnichok.kaluga.ru/","ds002@uo.kaluga.ru","+74842574963",,"Утвержден постановлением Городской Управы города Калуги от 01.12.2015 №15539-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","комбинированная","понедельник-пятница с 7.00 до 19.00","заведующий","Матвеева Галина Николаевна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 77 РОДНИЧОК города Калуги структурное необособленное подразделение  АИСТЁНОК","МБДОУ РОДНИЧОК г. Калуги НСП АИСТЁНОК","248001, Калужская область, г.Калуга, ул. Ленина, д.69а","54.514723","36.26612","http://rodnichok.kaluga.ru/","ds005@uo.kaluga.ru","+74842562320",,"Утвержден постановлением Городской Управы города Калуги от 01.12.2015 №15539-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","компенсирующая","понедельник-пятница группы полного дня(12 часов) с 7.00 до 19.00, группы кратковременного пребывания: (3 часа) с 09.00 до 12.00;  (5 часов) с 08.00 до 13.00","заведующий","Матвеева Галина Николаевна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 77 РОДНИЧОК города Калуги структурное необособленное подразделение ЛУЧИК","МБДОУ РОДНИЧОК г. Калуги НСП ЛУЧИК","248000, Калужская обасть, г.Калуга, ул. Воскресенская, д.10","54.508216","36.258349","http://rodnichok.kaluga.ru/","ds009@uo.kaluga.ru","+74842569254",,"Утвержден постановлением Городской Управы города Калуги от 01.12.2015 №15539-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00","заведующий","Матвеева Галина Николаевна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 80 МЕДВЕЖОНОК города Калуги","МБДОУ № 80 г. Калуги","248009, Калужская область, г.Калуга, ул. Пригородная, д.27.","54.529608","36.298325","http://ds80klg.ru/","ds080@uo.kaluga.ru","+74842762225",,"Утвержден постановлением Городской Управы города Калуги от 02.04.2015 г.№ 4018 - пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая, компенсирующая","понедельник-пятница с 7.00 до 19.01","заведующий","Закатова Мария Сергеевна","Управление образования города Калуги"
"муниципальное бюджетное дошкольное образовательное учреждение № 81 ДЮЙМОВОЧКА города Калуги","МБДОУ № 81 ДЮЙМОВОЧКА г. Калуги","248009, Калужская область, г.Калуга, ул. Грабцевское шоссе, д.124","54.534412","36.312051","http://mbdou81duymovochka.umi.ru","ds081@uo.kaluga.ru","+74842597119",+74842597119,"Утвержден постановлением Городской Управы города Калуги от 21.01.2015г. № 367-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.02","заведующий","Николаева Людмила Ильинична","Управление образования города Калуги"
"муниципальное бюджетное дошкольное образовательное учреждение № 82 ЧИПОЛЛИНО  города Калуги","МБДОУ № 82 ЧИПОЛЛИНО г.Калуги","248031, Калужская область, г.Калуга, ул. Тепличная, д.6а","54.593943","36.265428","http://ds-chipollino.ru/","ds082@uo.kaluga.ru","+74842513612",,"Постановление Городской Управы города Калуги от 26.06.2015 № 7946-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.03","заведующий","Зверева Инна Ивановна","Управление образования города Калуги"
"муниципальное бюджетное дошкольное образовательное учреждение № 83 СОКОЛЁНОК города Калуги","МБДОУ № 83 СОКОЛЁНОК г.Калуги","248016, Калужская область,г.Калуга, ул.Баррикад, д.142","54.518068","36.275094","http://sokolenok.kaluga.prosadiki.ru/","ds083@uo.kaluga.ru","+74842542513; 74842542894",,"Утвержден постановлением Городской Управы города Калуги от 28.04.2015 № 5135-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","заведующий","Пафнутьева Ольга Владимировна","Управление образования города Калуги"
"муниципальное бюджетное дошкольное образовательное учреждение № 84 ВОСХОД города Калуги","МБДОУ № 84 ВОСХОД г.Калуги","248003, Калужская область, г.Калуга, ул.Тульская, д.131","54.512811","36.285245","http://ds-voshod40.ru/wpv/","ds084@uo.kaluga.ru","+74842738235",+74842738235,"Утвержден постановлением Городской Управы города Калуги от 22.01.2015 № 459-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 1 года и 6 месяцев до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","заведующий","Щербакова Светлана Владимировна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 85 БЕЛОСНЕЖКА города Калуги","МБДОУ № 85 БЕЛОСНЕЖКА г. Калуги","248023, Калужская область, г.Калуга, ул. Николо-Козинская, д.38","54.508013","36.270479","http://белоснежка40.рф/","ds085@uo.kaluga.ru","+74842734814",,"Утвержден постановлением Городской Управы города Калуги от 03.03.2015 № 2702-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая,компенсирующая, комбинированная","понедельник-пятница с 7.00 до 19.00.","заведующий","Ярошенко Елена Степановна","Управление образования города Калуги"
"муниципальное бюджетное дошкольное образовательное учреждение № 86 БЕРЁЗКА города Калуги","МБДОУ № 86 БЕРЁЗКА г. Калуги","248901 Калужская область, г.Калуга, ул. Школьная, д.15А","54.5269444","36.1016667","http://mdou86-kaluga.ru","ds086@uo.kaluga.ru","+74842224131",+74842224131,"Утверждён постановлением  Городской Управы города Калуги от 27.01.2015  № 624-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","заведующий","Быченко Наталия Семёновна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 87 ЗОЛУШКА г.Калуги","МБДОУ № 87 ЗОЛУШКА г.Калуги","248016, Калужская область, г.Калуга, ул. Максима Горького, д.9","54.515084","36.278849","http://site-dou87kaluga.umi.ru/","ds087@uo.kaluga.ru","+74842546392",,"Утвержден постановлением Городской Управы города Калуги от 25.02.2015 № 2195-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 1 года и 6 месяцев до прекращения образовательных отношений","общеразвивающая, компенсирующая","понедельник-пятница с 7.00 до 19.00.","заведующий","Жаринова Наталия Владимировна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 88 АЛЫЕ ПАРУСА города Калуги","МБДОУ № 88 АЛЫЕ ПАРУСАг.Калуги","248030, Калужская область, город Калуга, улица Огарева дом 15","54.519134","36.258017","http://mbdou88-kaluga.umi.ru/","ds088@uo.kaluga.ru","+74842741313, +74842741316, +74842741328",+74842741316,"Утвержден постановлением Городской Управы города Калуги от 27.01.2015 №623-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая, компенсирующая","понедельник-пятница  07.00-19.00; группа кратковременного пребывания 09.00-12.00","заведующий","Зезюлина Валентина Ивановна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 90 ЛАСТОЧКА города Калуги","МБДОУ № 90 ЛАСТОЧКА г. Калуги","248012, Калужская область, г.Калуга, улица Московская, д.319","54.585302","36.255403","http://lastochka.kaluga.prosadiki.ru/","ds090@uo.kaluga.ru","+74842551763",+74842551763,"Утверждён постановлением Городской Управы города Калуги от 11.03.2015 года № 2923- пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая, компенсирующая","понедельник-пятница с 7.00 до 19.00.","заведующий","Бурыкина Юлия Ивановна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 90 ЛАСТОЧКА города Калуги необособленное структурное подразделение ЖАР-ПТИЦА","МБДОУ № 90 ЛАСТОЧКА г. Калуги НСП ЛАСТОЧКА","248012, Калужская область, г.Калуга, улица Кибальчича, д.34","54.5829247","36.2450963","http://lastochka.kaluga.prosadiki.ru/","ds090@uo.kaluga.ru","+74842705010, +74842524511",+74842551763,"Утверждён постановлением Городской Управы города Калуги от 24.07.2015 № 9466- пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая, компенсирующая","понедельник-пятница с 7.00 до 19.00.","заведующий","Бурыкина Юлия Ивановна","Управление образования города Калуги"
"муниципальное бюджетное дошкольное образовательное учреждение № 91 БРИГАНТИНА города Калуги","МБДОУ № 91 БРИГАНТИНАг. Калуги","248009, Калужская область, г.Калуга. ул. Грабцевское шоссе, д.136","54.533555","36.310844","http://mdou91-kaluga.ru/","ds091@uo.kaluga.ru","+74842597072",+74842597072,"Утвержден постановлением Городской Управы города Калуги от 28.04.2015 № 5130-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая, компенсирующая","понедельник-пятница группы полного дня( 12 часов пребывания) с 7.00 до 19.00, кратковременного пребывания (5 часов в день) с 8.00 до 13.00","заведующий","и.о. Амелина Елена Михайловна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 92 ПАРУС города Калуги","МБДОУ № 92 ПАРУС г. Калуги","248032, Калужская область, город Калуга, ул. Льва Толстого, д.3А","54.513903","36.347974","http://mbdou92-kaluga.umi.ru","ds092@uo.kaluga.ru","+74842592990",+784842592764,"Утвержден постановлением Городской Управы города Калуги от 11.03.2015  №2929-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","заведующий","Михайлова Татьяна Анатольевна","Управление образования города Калуги"
"муниципальное бюджетное дошкольное образовательное учреждение № 94 ЗАБАВА города Калуги","МБДОУ № 94 ЗАБАВА г. Калуги","248025, Калужская область, г.Калуга, ул. Луговая, д.41","54.5529","36.285","http://detsadzabava.ru","ds094@uo.kaluga.ru","+74842277064,
+74842277062",,"Утверждён постановлением Городской Управы города Калуги от 11.03.2015 № 2916-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая, компенсирующая","понедельник-пятница с 7.00 до 19.00.","заведующий","Антонова Лада Григорьевна","Управление образования города Калуги"
"Муниципальное бюджетное образовательное дошкольное учреждение № 96 СНЕЖИНКА города Калуги","МБДОУ № 96 СНЕЖИНКАг. Калуги","248007, Калужская область, г.Калуга, ул. Вишневского, д.20","54.535238","36.167485","http://ds96klg.ru/","ds096@uo.kaluga.ru","+74842727248",+74842727046,"Утвержден постановлением Городской Управы города Калуги от 31.10.2016 №13371 -пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 1 года и 6 месяцев до прекращения образовательных отношений","общеразвивающая, компенсирующая","понедельник-пятница с 7.00 до 19.00.","заведующий","Кирьянова Татьяна Николаевна","Управление образования города Калуги"
"Муниципальное бюджетное образовательное дошкольное учреждение № 96 СНЕЖИНКАгорода Калуги структурное необособленное подразделение Капелька","МБДОУ № 96 СНЕЖИНКАг. Калуги СНП КАПЕЛЬКА","248007, Калужская область,г.Калуга, ул. Вишневского","54.536277","36.174896","mdou96-kaluga.ru","ds040@uo.kaluga.ru","+74842725662",+74842725662,"Утвержден постановлением Городской Управы города Калуги от 31.10.2016 №13371 -пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 1 года и 6 месяцев до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","заведующий","Кирьянова Татьяна Николаевна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 97ЛЕНОК города Калуги","МБДОУ № 97 ЛЕНОК г. Калуги","284032, Калужская область, г.Калуга, ул. Турынинская, д.17 а","54.5293","36.27542","http://ds97-kaluga.umi.ru/","ds097@uo.kaluga.ru","+74842278415",,"Утверждён постановлением Городской Управы города Калуги  от 19.03.2015 №3313-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая, компенсирующая","понедельник-пятница с 7.00 до 19.00.","заведующий","Корчунова  Татьяна Александровна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 102 ТЕРЕМ-ТЕРЕМОК города Калуги","МБДОУ № 102 ТЕРЕМ-ТЕРЕМОК г. Калуги","248031, Калужская область,     г.Калуга, ул. Дорожная, 33 а","54.596916","36.268914","http://teremok.kaluga.prosadiki.ru/","ds102@uo.kaluga.ru","+74842513385",+74842513385,"Утверждён постановлением Городской Управы города Калуги от 27.03.2015г. №3844-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница: полного дня (12-часового пребывания) с 6.45 до 18.45, продленного дня (14-часовое пребывание) с 6.45 до 20.45. ","заведующий","Степанова Елена Викторовна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 103 ЛЕСНАЯ СКАЗКА города Калуги","МБДОУ № 103 ЛЕСНАЯ СКАЗКА г. Калуги","248017, Калужская область,г.Калуга, б-р Энтузиастов, дом 13","54.507014","36.252277","http://mbdou103.umi.ru/","ds103@uo.kaluga.ru","+74842793060",,"Утверждён постановлением Городской Управы города Калуги от 26.01.2015 № 522-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая, компенсирующая","понедельник-пятница с 6.30 до 18.30","заведующий","Матвеева Инна Анатольевна","Управление образования города Калуги"
"муниципальное бюджетное дошкольное образовательное учреждение № 104 СЕМИЦВЕТИК города Калуги","МБДОУ № 104 СЕМИЦВЕТИК г. Калуги","248012, г.Калуга, ул. Малоярославецкая, д.7","54.578625","36.249061","http://semicvetik.kaluga.prosadiki.ru","ds104@uo.kaluga.ru","+74842588309",,"Утреждён постановлением Городской Управы города Калуги от 28.04.2015 №5131-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая, компенсирующая","понедельник-пятница с 7.00 до 19.00.","заведующий","Костюшенкова Татьяна Николаевна","Управление образования города Калуги"
"муниципальное бюджетное дошкольное образовательное учреждение № 106 СВЕТЛЯЧОК города Калуги","МБДОУ № 106 СВЕТЛЯЧОК г. Калуги","248029, Калужская область, г.Калуга, ул. Карачевская, д.27","54.566229","36.229774","http://mdou106klg.umi.ru/","ds106@uo.kaluga.ru","+74842520442",+74842520442,"Утверждён Постановлением Городской Управы города Калуги от 05.02.2015 № 1119-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая, компенсирующая","понедельник-пятница с 7.00 до 19.00.","заведующий","Сомова   Ирина Валентиновна","Управление образования города Калуги"
"муниципальное бюджетное дошкольное образовательное учреждение № 108 ДРУЖБА города Калуги","МБДОУ № 108 ДРУЖБА г. Калуги","248008, Калужская область, г.Калуга, пер. Ольговский д.7","54.570786","36.312599","http://ds-drugba40.ru/","ds108@uo.kaluga.ru","+74842517589",+74842517589,"Утвержден постановлением Городской Управы города Калуги приказ  от 11.03.2015 № 2915-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая, компенсирующая","понедельник-пятница с 7.00 до 19.00.","заведующий","Евстратова Анна Александровна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 110 ЗОЛОТОЙ ПЕТУШОК города Калуги","МБДОУ № 110 ЗОЛОТОЙ ПЕТУШОК г. Калуги","248012, Калужская обл., г.Калуга, ул. Кубяка, д.15","54.577649","36.251172","http://110sadkaluga.nubex.ru/","ds110@uo.kaluga.ru","+74842529511",+74842799899,"Утверждён постановлением Городской Управы города Калуги от 25.02.2016 № 2196-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","заведующий","Каптур Людмила Михайловна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 116 города Калуги","МБДОУ № 116 г. Калуги","248000, Калужская область, г.Калуга, ул. Гагарина, д.35а","54.513073","36.236285","http://site-6ac5824.umi.ru/","ds116@uo.kaluga.ru","+74842774288",,"Утверждён постановлением Городской Управы города Калуги от 21.01.2015 № 366-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","заведующий","Алешина Светлана Александровна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение ДЕТСТВО Центр развития ребенка города Калуги","МБДОУ ДЕТСТВО  ЦРР г. Калуги","248033, Калужская область, г.Калуга, ул. Генерала Попова, 30","54.49256","36.207259","http://цррдетство.рф/","crr-d@mail.ru","+74842548967",+74842548967,"Утверждён постановление Городской Управы города Калуги от 10.12.2015 № 16053-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 1 года и 6 месяцев до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","Директор","Капитонова Эльвира Рафаиловна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение ДЕТСТВО Центр развития ребенка города Калуги","МБДОУ ДЕТСТВО ЦРР г. Калуги НСП РОСИНКА","248600, Калужская область, г.Калуга, ул. Вооруженного восстания, д.5","54.5190313","36.2444536","http://цррдетство.рф/","crr-d@mail.ru","+74842745481",+74842548967,"Утверждён постановление Городской Управы города Калуги от 10.12.2015 № 16053-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","Заместитель директора","Бадина Инна Владимировна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение ДЕТСТВО Центр развития ребенка города Калуги","МБДОУ ДЕТСТВО ЦРР г. Калуги НСП ЖУРАВУШКА","248600, Калужская область, г.Калуга, ул. Вооруженного восстания, д.5а","54.519498","36.2442401","http://цррдетство.рф/","crr-d@mail.ru","+74842745461",+74842548967,"Утверждён постановление Городской Управы города Калуги от 10.12.2015 № 16053-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","Заместитель директора","Бадина Инна Владимировна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение ДЕТСТВО Центр развития ребенка города Калуги","МБДОУ ДЕТСТВО ЦРР г. Калуги НСП БЕРЕЖОК","248033, Калужская область, г.Калуга, ул. Димитрова, д.14","54.4947033","36.2176542","http://цррдетство.рф/","crr-d@mail.ru","+74842226592",+74842548967,"Утверждён постановление Городской Управы города Калуги от 10.12.2015 № 16053-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","Заместитель директора","Артюшина Алевтина Николаевна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение ДЕТСТВО Центр развития ребенка города Калуги","МБДОУ ДЕТСТВО ЦРР г. Калуги НСП УЛЫБКА","248033, Калужская область, г.Калуга, ул. Генерала Попова, 30","54.49256","36.207259","http://цррдетство.рф/","crr-d@mail.ru","+74842728474",+74842548967,"Утверждён постановление Городской Управы города Калуги от 10.12.2015 № 16053-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","Заместитель директора","Счастливова Ольга Владимировна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение ДЕТСТВО Центр развития ребенка города Калуги","МБДОУ ДЕТСТВО ЦРР г. Калуги НСП ПЛАНЕТА","248033, Калужская область, г.Калуга, ул. 65 лет Победы, д.8","54.4877576","36.1966064","http://цррдетство.рф/","crr-d@mail.ru","+74842278493",+74842548967,"Утверждён постановление Городской Управы города Калуги от 10.12.2015 № 16053-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","Заместитель директора","Финакина Людмила Вячеславовна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение ДЕТСТВО Центр развития ребенка города Калуги","МБДОУ ДЕТСТВО ЦРР г. Калуги НСП МОЗАИКА","248033, Калужская область, г.Калуга, ул. 65 лет Победы, д.12","54.4853614","36.1929079","http://цррдетство.рф/","crr-d@mail.ru","+74842226042",+74842548967,"Утверждён постановление Городской Управы города Калуги от 10.12.2015 № 16053-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","Заместитель директора","Сычева Варвара Анатольевна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение ДЕТСТВО Центр развития ребенка города Калуги","БДОУ ДЕТСТВО  ЦРР г. Калуги НСП КОРАБЛИК","248033, Калужская область,  г.Калуга, ул. Георгия Амелина, д.37","54.5008083","36.1740229","http://цррдетство.рф/","crr-d@mail.ru","+74842203246",+74842548967,"Утверждён постановление Городской Управы города Калуги от 10.12.2015 № 16053-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 1 года и 6 месяцев до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","Заместитель директора","Куляк Ирина Владимировна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение ДЕТСТВО Центр развития ребенка города Калуги","МБДОУ ДЕТСТВО ЦРР  г. Калуги НСП ЦВЕТОЧНЫЙ ГОРОД","248033, Калужская область, г.Калуга, ул. Полесская, д.20","54.463095","36.228085","http://цррдетство.рф/","crr-d@mail.ru","+74842548967",+74842548967,"Утверждён постановление Городской Управы города Калуги от 10.12.2015 № 16053-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 1 года и 6 месяцев до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","Заместитель директора","Мешкова Елена Владимировна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение ДЕТСТВО Центр развития ребенка города Калуги","МБДОУ ДЕТСТВО ЦРР г. Калуги НСП АКВАРЕЛЬ","248033, Калужская область, г.Калуга, ул. Василия Стригунова, стр.7","54.501807","36.185119","http://цррдетство.рф/","crr-d@mail.ru","+74842548967",+74842548967,"Утверждён постановление Городской Управы города Калуги от 10.12.2015 № 16053-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 1 года и 6 месяцев до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","Заместитель директора","Химич 
Людмила Сергеевна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение ДЕТСТВО Центр развития ребенка города Калуги","МБДОУ ДЕТСТВО ЦРР г. Калуги НСП КАРУСЕЛЬ","248033, Калужская область, г. Калуга, ул. Минская, д.22","54.487610,","36.172695","http://цррдетство.рф/","crr-d@mail.ru","+74842548967",+74842548967,"Утверждён постановление Городской Управы города Калуги от 10.12.2015 № 16053-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 1 года и 6 месяцев до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","Заместитель директора","Николенко Елена Александровна","Управление образования города Калуги"
